StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,BOT_Answer,BASE_1T_Reliable,BASE_1T_Competent,BASE_1T_Ethical,BASE_1T_Transparent,BASE_1T_Benevolent,BASE_1T_Dependable,BASE_1T_Skilled,BASE_1T_Principled,BASE_1T_Genuine,BASE_1T_Kind,BASE_1T_Consistent,BASE_1T_Capable,BASE_1T_Moral,BASE_1T_Authentic,BASE_1T_Considerate,BASE_ATTENTION_1,PUSH_RATE_T_Reliable,PUSH_RATE_T_Competent,PUSH_RATE_T_Ethical,PUSH_RATE_T_Transparent,PUSH_RATE_T_Benevolent,PUSH_RATE_T_Dependable,PUSH_RATE_T_Skilled,PUSH_RATE_T_Principled,PUSH_RATE_T_Genuine,PUSH_RATE_T_Kind,PUSH_RATE_T_Consistent,PUSH_RATE_T_Capable,PUSH_RATE_T_Moral,PUSH_RATE_T_Authentic,PUSH_RATE_T_Considerate,PUSH_ATTENTION_1,PUSH_ATTENTION_2,PUSH_ATTENTION_3,PUSH_ATTENTION_4,PUSH_ATTENTION_5,BASE_2B_Reliable,BASE_2B_Competent,BASE_2B_Ethical,BASE_2B_Transparent,BASE_2B_Benevolent,BASE_2B_Dependable,BASE_2B_Skilled,BASE_2B_Principled,BASE_2B_Genuine,BASE_2B_Kind,BASE_2B_Consistent,BASE_2B_Capable,BASE_2B_Moral,BASE_2B_Authentic,BASE_2B_Considerate,BASE_3B_Reliable,BASE_3B_Competent,BASE_3B_Ethical,BASE_3B_Transparent,BASE_3B_Benevolent,BASE_3B_Dependable,BASE_3B_Skilled,BASE_3B_Principled,BASE_3B_Genuine,BASE_3B_Kind,BASE_3B_Consistent,BASE_3B_Capable,BASE_3B_Moral,BASE_3B_Authentic,BASE_3B_Considerate,BASE_4B_Reliable,BASE_4B_Competent,BASE_4B_Ethical,BASE_4B_Transparent,BASE_4B_Benevolent,BASE_4B_Dependable,BASE_4B_Skilled,BASE_4B_Principled,BASE_4B_Genuine,BASE_4B_Kind,BASE_4B_Consistent,BASE_4B_Capable,BASE_4B_Moral,BASE_4B_Authentic,BASE_4B_Considerate,BASE_5B_Reliable,BASE_5B_Competent,BASE_5B_Ethical,BASE_5B_Transparent,BASE_5B_Benevolent,BASE_5B_Dependable,BASE_5B_Skilled,BASE_5B_Principled,BASE_5B_Genuine,BASE_5B_Kind,BASE_5B_Consistent,BASE_5B_Capable,BASE_5B_Moral,BASE_5B_Authentic,BASE_5B_Considerate,BASE_ATTENTION_2,BASE_ATTENTION_3,BASE_ATTENTION_4,BASE_ATTENTION_5,PUSH_RATE_B_Reliable,PUSH_RATE_B_Competent,PUSH_RATE_B_Ethical,PUSH_RATE_B_Transparent,PUSH_RATE_B_Benevolent,PUSH_RATE_B_Dependable,PUSH_RATE_B_Skilled,PUSH_RATE_B_Principled,PUSH_RATE_B_Genuine,PUSH_RATE_B_Kind,PUSH_RATE_B_Consistent,PUSH_RATE_B_Capable,PUSH_RATE_B_Moral,PUSH_RATE_B_Authentic,PUSH_RATE_B_Considerate,BASE_2R_Reliable,BASE_2R_Competent,BASE_2R_Ethical,BASE_2R_Transparent,BASE_2R_Benevlont,BASE_2R_Dependable,BASE_2R_Skilled,BASE_2R_Principled,BASE_2R_Genuine,BASE_2R_Kind,BASE_2R_Consistent,BASE_2R_Capable,BASE_2R_Moral,BASE_2R_Authentic,BASE_2R_Considerate,BASE_3R_Reliable,BASE_3R_Competent,BASE_3R_Ethical,BASE_3R_Transparent,BASE_3R_Benevolent,BASE_3R_Dependable,BASE_3R_Skilled,BASE_3R_Principled,BASE_3R_Genuine,BASE_3R_Kind,BASE_3R_Consistent,BASE_3R_Capable,BASE_3R_Moral,BASE_3R_Authentic,BASE_3R_Considerate,BASE_4R_Reliable,BASE_4R_Competent,BASE_4R_Ethical,BASE_4R_Transparent,BASE_4R_Benevolent,BASE_4R_Dependable,BASE_4R_Skilled,BASE_4R_Principled,BASE_4R_Genuine,BASE_4R_Kind,BASE_4R_Consistent,BASE_4R_Capable,BASE_4R_Moral,BASE_4R_Authentic,BASE_4R_Considerate,BASE_5R_Reliable,BASE_5R_Competent,BASE_5R_Ethical,BASE_5R_Transparent,BASE_5R_Benevolent,BASE_5R_Dependable,BASE_5R_Skilled,BASE_5R_Principled,BASE_5R_Genuine,BASE_5R_Kind,BASE_5R_Consistent,BASE_5R_Capable,BASE_5R_Moral,BASE_5R_Authentic,BASE_5R_Considerate,PUSH_R_RATE_Reliable,PUSH_RATE_R_Competent,PUSH_RATE_R_Ethical,PUSH_RATE_R_Transparent,PUSH_RATE_R_Benevolent,PUSH_RATE_R_Dependable,PUSH_RATE_R_Skilled,PUSH_RATE_R_Principled,PUSH_RATE_R_Genuine,PUSH_RATE_R_Kind,PUSH_RATE_R_Consistent,PUSH_RATE_R_Capable,PUSH_RATE_R_Moral,PUSH_RATE_R_Authentic,PUSH_RATE_R_Considerate,BASE_2E_Reliable,BASE_2E_Competent,BASE_2E_Ethical,BASE_2E_Transparent,BASE_2E_Benevolent,BASE_2E_Dependable,BASE_2E_Skilled,BASE_2E_Principled,BASE_2E_Genuine,BASE_2E_Kind,BASE_2E_Consistent,BASE_2E_Capable,BASE_2E_Moral,BASE_2E_Authentic,BASE_2E_Considerate,BASE_3E_Reliable,BASE_3E_Competent,BASE_3E_Ethical,BASE_3E_Transparent,BASE_3E_Benevolent,BASE_3E_Dependable,BASE_3E_Skilled,BASE_3E_Principled,BASE_3E_Genuine,BASE_3E_Kind,BASE_3E_Consistent,BASE_3E_Capable,BASE_3E_Moral,BASE_3E_Authentic,BASE_3E_Considerate,BASE_4E_Reliable,BASE_4E_Competent,BASE_4E_Ethical,BASE_4E_Transparent,BASE_4E_Benevolent,BASE_4E_Dependable,BASE_4E_Skilled,BASE_4E_Principled,BASE_4E_Genuine,BASE_4E_Kind,BASE_4E_Consistent,BASE_4E_Capable,BASE_4E_Moral,BASE_4E_Authentic,BASE_4E_Considerate,BASE_5E_Reliable,BASE_5E_Competent,BASE_5E_Ethical,BASE_5E_Transparent,BASE_5E_Benevolent,BASE_5E_Dependable,BASE_5E_Skilled,BASE_5E_Principled,BASE_5E_Genuine,BASE_5E_Kind,BASE_5E_Consistent,BASE_5E_Capable,BASE_5E_Moral,BASE_5E_Authentic,BASE_5E_Considerate,PUSH_RATE_E_Reliable,PUSH_RATE_E_Competent,PUSH_RATE_E_Ethical,PUSH_RATE_E_Transparent,PUSH_RATE_E_Benevolent,PUSH_RATE_E_Dependable,PUSH_RATE_E_Skilled,PUSH_RATE_E_Principled,PUSH_RATE_E_Genuine,PUSH_RATE_E_Kind,PUSH_RATE_E_Consistent,PUSH_RATE_E_Capable,PUSH_RATE_E_Moral,PUSH_RATE_E_Authentic,PUSH_RATE_E_Considerate,BASE_2C_Reliable,BASE_2C_Competent,BASE_2C_Ethical,BASE_2C_Transparent,BASE_2C_Benevolent,BASE_2C_Dependable,BASE_2C_Skilled,BASE_2C_Principled,BASE_2C_Genuine,BASE_2C_Kind,BASE_2C_Consistent,BASE_2C_Capable,BASE_2C_Moral,BASE_2C_Authentic,BASE_2C_Considerate,BASE_3C_Reliable,BASE_3C_Competent,BASE_3C_Ethical,BASE_3C_Transparent,BASE_3C_Benevolent,BASE_3C_Dependable,BASE_3C_Skilled,BASE_3C_Principled,BASE_3C_Genuine,BASE_3C_Kind,BASE_3C_Consistent,BASE_3C_Capable,BASE_3C_Moral,BASE_3C_Authentic,BASE_3C_Considerate,BASE_4C_Reliable,BASE_4C_Competent,BASE_4C_Ethical,BASE_4C_Transparent,BASE_4C_Benevolent,BASE_4C_Dependable,BASE_4C_Skilled,BASE_4C_Principled,BASE_4C_Genuine,BASE_4C_Kind,BASE_4C_Consistent,BASE_4C_Capable,BASE_4C_Moral,BASE_4C_Authentic,BASE_4C_Considerate,BASE_5C_Reliable,BASE_5C_Competent,BASE_5C_Ethical,BASE_5C_Transparent,BASE_5C_Benevolent,BASE_5C_Dependable,BASE_5C_Skilled,BASE_5C_Principled,BASE_5C_Genuine,BASE_5C_Kind,BASE_5C_Consistent,BASE_5C_Capable,BASE_5C_Moral,BASE_5C_Authentic,BASE_5C_Considerate,PUSH_RATE_C_Reliable,PUSH_RATE_C_Competent,PUSH_RATE_C_Ethical,PUSH_RATE_C_Transparent,PUSH_RATE_C_Benevolent,PUSH_RATE_C_Dependable,PUSH_RATE_C_Skilled,PUSH_RATE_C_Principled,PUSH_RATE_C_Genuine,PUSH_RATE_C_Kind,PUSH_RATE_C_Consistent,PUSH_RATE_C_Capable,PUSH_RATE_C_Moral,PUSH_RATE_C_Authentic,PUSH_RATE_C_Considerate,Knowledge,Experience,exclude,COMMENTS,ParticipantID,Prolific,Agent,Agent_plural,Push_Direction,T,Scenario1,T_Scenario,PushText,B,Scenario2,B_Scenario,Scenario3,Scenario4,Scenario5,R,R_Scenario,E,E_Scenario,C,C_Scenario,FL_621_DO,FL_7_DO,FL_239_DO,FL_419_DO,FL_175_DO,FL_192_DO,FL_221_DO,FL_685_DO,FL_977_DO,FL_745_DO,FL_749_DO,FL_806_DO,FL_863_DO,FL_920_DO
5/7/25 8:13,5/7/25 8:23,IP Address,100,591,TRUE,5/7/25 8:23,R_3hFKozL6NAa1XGT,anonymous,EN,1,"The fire department, because the building is on fire. ",,,,,,,,,,,,,,,,,5,4,6,-1,6,5,5,-1,4,7,6,7,-1,-1,6,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,7,7,6,6,6,7,7,-1,5,6,-1,7,6,1,1,1,1,5,5,7,5,6,4,5,6,5,3,4,4,-1,5,5,6,6,7,7,6,6,6,-1,5,5,6,6,-1,-1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,6,5,4,4,4,5,6,5,4,4,-1,-1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,5,4,-1,3,3,-1,-1,-1,6,3,-1,-1,-1,,,,,,,,,,,,,,,,4,4,5,7,-1,4,4,-1,-1,-1,4,4,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,5,4,-1,3,3,-1,-1,-1,7,3,-1,-1,-1,2,5,N,,490017,5bce1e8453de590001846151,dog,dogs,DOWN,USED,,4,"<p></p><p></p><p>Public safety has discovered that there is a new type of explosive device. Now the dog still correctly searches for the standard explosives, but is unable to identify the new type of explosive device.</p>",USED,USED,5,USED,USED,USED,USED,2,USED,,USED,3,FL_622,FL_424,,,,,,,FL_987,FL_974|FL_746|FL_803|FL_917|FL_860,FL_762,FL_810,,FL_927
5/7/25 8:13,5/7/25 8:23,IP Address,100,590,TRUE,5/7/25 8:23,R_3DYuJEVb1dWqHnu,anonymous,EN,1,I would expect the fire department would respond to put out a possible fire.,,,,,,,,,,,,,,,,,6,7,-1,-1,-1,6,7,-1,-1,-1,-1,7,-1,-1,-1,,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,7,7,-1,-1,-1,7,7,-1,-1,-1,7,7,-1,-1,-1,,,,,,,,,,,,,,,,6,6,-1,-1,-1,6,6,-1,-1,-1,6,6,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,-1,-1,-1,7,7,-1,-1,-1,7,7,-1,-1,-1,6,6,-1,-1,-1,6,6,-1,-1,-1,6,6,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,-1,-1,-1,6,6,-1,-1,-1,6,6,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,-1,-1,-1,6,6,-1,-1,5,5,6,-1,-1,-1,,,,,,,,,,,,,,,,6,6,-1,-1,-1,6,6,-1,-1,6,-1,6,-1,-1,-1,2,2,N,,845017,67828038b2e1f7607e817e11,dog,dogs,UP,USED,,5,"<p></p><p></p><p>Now the dog correctly locates the explosives even more often, about 95% of the time.</p>",USED,USED,,USED,USED,USED,USED,3,USED,2,USED,4,FL_622,FL_17,FL_668,FL_682|FL_423|FL_422|FL_421|FL_420,,FL_199,FL_225,FL_695,,,,,,
5/7/25 8:15,5/7/25 8:29,IP Address,100,829,TRUE,5/7/25 8:29,R_7feFAwd1wNLRFbc,anonymous,EN,1,Assuming the building is on fire I would expect a fire engine with firemen to arrive at the scene.,6,6,6,5,6,7,6,6,5,6,6,5,7,6,6,1,6,6,5,6,6,5,6,6,5,6,6,5,6,6,5,1,1,1,1,1,,,,,,,,,,,,,,,,6,6,-1,7,-1,7,7,-1,5,-1,6,6,6,6,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,-1,2,-1,0,2,-1,2,-1,2,1,-1,4,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,5,6,6,6,5,7,7,5,6,6,6,6,,,,,,,,,,,,,,,,5,5,5,4,5,4,4,5,5,5,4,5,5,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,6,6,7,7,6,6,7,7,6,6,6,7,6,6,6,5,5,6,6,6,5,5,6,5,5,5,6,6,6,7,6,6,6,5,7,6,6,6,6,7,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,6,6,7,6,6,6,6,6,5,5,6,6,5,4,4,N,"If a robot is more functional rather than supportive, does that mean it can be considered ethical, moral etc.?  I wouldn't consider it that way if it just performs mechanical tasks.",10959,5d50692435e3af0001f05a15,robot,robots,DOWN,USED,USED,1,"<p></p><p></p><p>Now the robot follows the airport’s selection procedures and alerts when a passenger should be patted down but does not use different alerts for different selection criteria.
</p>",USED,USED,3,USED,USED,USED,USED,4,USED,5,USED,2,FL_623,FL_424,,,,,,,FL_978,FL_746|FL_803|FL_917|FL_860|FL_974,FL_756,FL_816,FL_876,FL_924
5/7/25 8:19,5/7/25 8:29,IP Address,100,611,TRUE,5/7/25 8:29,R_7A0QV1zkl2NvsJw,anonymous,EN,1,I would expect the fire department to come to the building as the building is most likely on fire with the information provided. ,,,,,,,,,,,,,,,,,5,5,-1,-1,4,5,5,-1,4,4,6,5,-1,4,4,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,-1,-1,6,6,6,-1,6,6,6,6,-1,6,6,,,,,,,,,,,,,,,,1,1,1,1,6,6,-1,-1,6,6,6,6,6,6,6,6,-1,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,-1,-1,4,3,3,4,4,4,3,3,-1,4,4,6,6,6,-1,6,7,7,-1,6,6,6,6,-1,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,-1,-1,5,5,7,-1,6,6,6,6,-1,6,5,,,,,,,,,,,,,,,,6,6,-1,-1,6,6,6,6,6,4,6,6,-1,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,-1,-1,4,3,3,3,4,4,3,3,-1,4,4,4,6,N,,319077,65e9d9d01c92fb355d08c21a,dog,dogs,DOWN,USED,,5,"<p></p><p></p><p>Public safety has discovered that there is a new type of explosive device. Now the dog still correctly searches for the standard explosives, but is unable to identify the new type of explosive device.</p>",USED,USED,4,USED,USED,USED,USED,,USED,2,USED,3,FL_622,FL_424,,,,,,,FL_990,FL_860|FL_974|FL_746|FL_917|FL_803,FL_759,,FL_867,FL_927
5/7/25 8:15,5/7/25 8:30,IP Address,100,895,TRUE,5/7/25 8:30,R_7YxmY4ZXv5A3GK2,anonymous,EN,1,I would expect the fire service to come to the building.,,,,,,,,,,,,,,,,,6,7,6,6,6,7,7,6,6,7,6,7,6,7,6,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,6,7,7,6,6,7,6,7,6,6,7,6,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,6,7,6,6,7,6,7,6,6,7,7,6,7,7,6,7,7,7,7,7,6,7,6,7,7,7,7,5,,,,,,,,,,,,,,,,5,6,7,6,7,5,7,6,6,5,6,7,-1,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,6,7,4,5,6,6,6,5,6,7,7,6,7,7,6,7,7,6,7,7,6,6,7,7,7,6,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,6,7,6,7,6,6,5,7,5,6,7,7,7,,,N,The study was interesting,206052,67e184da2196b4f9027adc2b,person,people,UP,USED,,4,"<p></p><p>Now the person correctly identifies skin diseases more often, in about  95% of the cases.</p>",USED,USED,,USED,USED,USED,USED,5,USED,3,USED,2,FL_624,FL_17,FL_249,FL_422|FL_682|FL_423|FL_420|FL_421,,FL_644,FL_228,FL_689,,,,,,
5/7/25 9:08,5/7/25 9:22,IP Address,100,814,TRUE,5/7/25 9:22,R_2cAViNFx45mazeh,anonymous,EN,0.899999976,I would expect the Fire-Brigade to come to the building to assess it for a potential fire.,,,,,,,,,,,,,,,,,5,5,-1,4,6,5,5,5,5,6,5,5,-1,5,-1,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,5,5,-1,5,5,5,5,5,5,5,5,5,-1,5,5,7,7,7,7,7,7,7,7,7,7,7,7,-1,7,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,-1,7,7,7,7,7,7,7,7,7,-1,7,-1,,,,,,,,,,,,,,,,7,7,-1,7,7,7,7,7,7,7,7,7,-1,7,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,-1,7,7,7,7,-1,7,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,-1,-1,6,6,6,-1,6,-1,6,6,-1,7,-1,6,6,-1,6,6,6,6,-1,7,-1,6,6,-1,7,-1,1,1,N,None.,576911,5ef7783026861249d8eb58ef,dog,dogs,DOWN,USED,,4,<p></p><p>Now the dog still alerts the staff if a child needs additional comforting but also does not indicate which child needs the comfort.</p>,USED,USED,,USED,USED,USED,USED,2,USED,3,USED,5,FL_622,FL_424,,,,,,,FL_987,FL_917|FL_803|FL_860|FL_974|FL_746,,FL_810,FL_870,FL_933
5/7/25 9:40,5/7/25 9:51,IP Address,100,676,TRUE,5/7/25 9:51,R_6NuY23zYpQlIL8R,anonymous,EN,1,"I would expect firefighters to come to the building to check whether there is a fire and if so, to put it out and ensure that people get out.",5,6,-1,-1,-1,4,6,5,-1,-1,-1,6,-1,-1,-1,1,3,4,-1,-1,-1,2,5,4,-1,-1,1,4,-1,-1,-1,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,-1,7,-1,5,7,6,7,-1,6,7,-1,-1,-1,1,1,1,1,-1,4,-1,-1,3,2,3,-1,-1,-1,4,4,-1,-1,3,,,,,,,,,,,,,,,,4,5,-1,-1,-1,5,6,5,-1,-1,5,6,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,-1,-1,-1,4,4,-1,-1,-1,3,4,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,-1,-1,-1,5,6,4,-1,-1,5,7,-1,-1,-1,,,,,,,,,,,,,,,,5,7,-1,-1,-1,6,7,5,-1,-1,4,7,-1,4,-1,4,5,-1,-1,-1,4,5,4,-1,-1,4,5,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,-1,-1,-1,3,4,3,-1,-1,3,4,-1,-1,-1,5,7,N,,93658,660452d6f4aa3a41d687885b,dog,dogs,DOWN,USED,USED,1,"<p></p><p></p><p>Now the dog follows the airport’s selection procedures and alerts when a passenger should be patted down but does not use different alerts for different selection criteria.
</p>",USED,USED,5,USED,USED,USED,USED,3,USED,4,USED,2,FL_622,FL_424,,,,,,,FL_978,FL_746|FL_917|FL_803|FL_860|FL_974,FL_762,FL_813,FL_873,FL_924
5/7/25 9:46,5/7/25 10:02,IP Address,100,947,TRUE,5/7/25 10:02,R_5iLwrR8QGU17iwN,anonymous,EN,0.899999976,"""You know, things have been a bit crazy at work recently. I remember just last week, we had that massive deadline for the quarterly financial report. Honestly, it felt like everyone was stretched thin, and there was a real worry we might not pull it off. But I really dug in, ended up staying late a couple of evenings, and just laser-focused on finalizing the expense reconciliation. I was constantly talking to the team, making sure we were all on track and trying to smooth out any problems that popped up. There were definitely times I was completely wiped out, but seeing the report get submitted accurately and on time, knowing I had a real hand in getting it done – that felt pretty great. It's those moments when you push through the tough bits and see the positive outcome that make you feel like you're really putting in the effort and making a difference, you know?""",7,7,7,7,6,6,6,6,6,6,6,6,6,7,7,0,6,6,7,6,6,6,6,7,7,7,6,7,7,7,7,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,7,7,7,7,6,6,6,6,6,6,6,7,6,,,,,,,,,,,,,,,,1,1,1,0,6,7,7,7,7,7,7,6,6,7,7,6,7,7,7,,,,,,,,,,,,,,,,6,6,6,6,6,6,5,5,5,5,5,6,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,7,6,7,7,6,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,7,6,6,6,6,7,6,5,6,4,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,7,5,4,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,4,7,6,5,5,4,7,6,5,6,6,7,6,5,Y,EXCLUDE,851370,67e478cd1e606cd162f6f60e,robot,robots,UP,USED,USED,1,"<p></p><p></p><p>Now the robot follows the airport’s selection procedures and alerts when a passenger should be patted down and, in addition, uses different alerts for different selection criteria.</p>",USED,USED,4,USED,USED,USED,USED,3,USED,5,USED,2,FL_623,FL_17,FL_240,FL_422|FL_682|FL_421|FL_420|FL_423,FL_189,FL_199,FL_656,FL_689,,,,,,
5/7/25 9:56,5/7/25 10:21,IP Address,100,1490,TRUE,5/7/25 10:21,R_3CC9ar3inzAGAyE,anonymous,EN,1,I will expect Firemen to come to the building and stop the fire burning in the building that made the man run down the street.,7,7,7,7,-1,7,7,7,7,7,7,7,7,7,3,1,5,6,7,7,-1,4,6,7,7,7,7,7,7,6,-1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,-1,-1,6,7,-1,7,6,7,-1,7,-1,7,-1,7,,,,,,,,,,,,,,,,1,1,1,1,0,2,1,3,1,1,3,1,4,5,1,0,2,5,3,,,,,,,,,,,,,,,,6,-1,7,6,7,-1,7,5,7,-1,6,7,5,7,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,5,3,5,3,2,5,3,7,2,1,4,2,6,-1,7,-1,6,-1,-1,7,-1,6,-1,7,7,7,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,-1,5,7,-1,4,7,-1,-1,7,7,5,-1,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,6,-1,7,5,7,4,6,-1,-1,7,-1,-1,6,4,1,3,0,3,5,2,1,4,6,2,3,5,-1,6,6,7,N,,678058,66cd09a1e2fb3850eaf08fd8,dog,dogs,DOWN,USED,USED,1,"<p></p><p></p><p>Now the dog follows the airport’s selection procedures and alerts when a passenger should be patted down but does not use different alerts for different selection criteria.
</p>",USED,USED,4,USED,USED,USED,USED,3,USED,2,USED,5,FL_622,FL_424,,,,,,,FL_978,FL_917|FL_746|FL_803|FL_860|FL_974,FL_759,FL_813,FL_867,FL_933
5/7/25 10:26,5/7/25 10:31,IP Address,100,308,TRUE,5/7/25 10:31,R_7NUIP0UIuFXHOhh,anonymous,EN,1,Firefighter because the building is likely on fire,6,6,-1,6,-1,6,6,-1,-1,-1,7,7,-1,-1,-1,1,6,6,-1,6,-1,6,6,-1,-1,-1,5,6,-1,-1,-1,1,1,1,1,1,,,,,,,,,,,,,,,,7,7,-1,7,-1,7,7,-1,-1,-1,7,7,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,7,7,7,-1,7,7,7,7,-1,-1,7,7,7,-1,-1,6,6,6,4,6,6,5,6,6,7,6,6,5,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,5,7,6,6,6,7,7,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,-1,-1,7,7,5,-1,-1,6,6,6,-1,-1,6,,,,,,,,,,,,,,,,6,6,-1,-1,-1,6,5,-1,-1,6,6,6,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,-1,-1,-1,7,7,7,-1,-1,7,7,-1,-1,-1,5,6,-1,-1,-1,6,6,-1,-1,-1,5,6,-1,-1,-1,0,0,N,,586874,5d083644613fce001b2a1001,robot,robots,UP,USED,USED,1,"<p></p><p></p><p>Now the robot follows the airport’s selection procedures and alerts when a passenger should be patted down and, in addition, uses different alerts for different selection criteria.</p>",USED,USED,3,USED,USED,USED,USED,2,USED,4,USED,5,FL_623,FL_17,FL_240,FL_421|FL_420|FL_682|FL_422|FL_423,FL_186,FL_196,FL_231,FL_698,,,,,,
